Site_number,Transect,Site type,Bromus_TN_pct,Bromus_TC_pct,Bromus_CN,Other_TN_pct,Other_TC_pct,Other_CN,Poa_TN_pct,Poa_TC_pct,Poa_CN,Litter_TN_pct,Litter_TC_pct,Litter_CN,SOIL_SurSo4_kg_ha,SOIL_Ca_kg_ha,SOIL_Mg_kg_ha,SOIL_OM_pct,SOIL_TN_pct,SOIL_CN,Bare,Litter,Crypto,AIG,AIF,PNF,PNG,ANF,Shrubs,Rock
1,A,I,1.16,39.7,34.29,1.1,39.58,36.02,1.58,42.36,26.7751722394286,1.06,35.57,33.59241,10.0180954545455,5124.82302036,1228.985994456,1.97,0.12,16.4166666666667,69,27,0.13,0.34,0.02,0.03,8.21,0.01,25.1,0.18
1,B,I,1.17,40.9,34.84,NA,NA,NA,1.37,42.22,30.722602241304,0.93,34.97,37.65261,10.4278909090909,3956.319665662,921.003140278,1.68,0.1,16.8,66.7,30,0.11,0.47,0,0,7.6,0.03,21.6,0.06
1,C,I,1.2,37.99,31.78,1.15,40.89,35.44,1.58,41.94,26.6068142884335,0.83,31.08,37.532,8.80218181818182,3871.286818935,937.465071162,1.81,0.1,18.1,74.2,22.5,0.4,1.04,0.2,0,6,0.02,22.2,0.25
2,A,I,1.01,40.52,39.94,1.24,39.22,31.52,1.09,41.55,37.9831779118669,0.58,39.85,68.44438,7.77713181818182,4671.731772856,1097.170359372,1.68,0.1,16.8,56.5,41.6,0.22,0.27,0,0.53,4.3,0.01,25.45,0.06
2,B,I,1.14,36.95,32.29,1.27,40.23,31.76,1.12,40.28,36.077026421854,0.78,35.33,45.33114,8.49006363636364,3831.682877952,946.456242792,1.8,0.1,18,69.4,29.3,0.03,0.37,0,0.12,3.31,0.03,21.22,0.06
2,C,I,0.97,39.24,40.26,1.27,40.15,31.74,0.73,42.17,57.5244175260545,0.72,34.39,48.03698,8.91220909090909,4141.762924194,1108.893048354,1.89,0.11,17.1818181818182,70.6,27.31,0.03,0.24,0,0.41,5.01,0.03,27.55,0.02
3,A,I,0.93,38.39,41.45,1.17,42.08,35.84,1.01,42,41.5482785912149,0.63,34.51,54.55206,9.08735454545455,4927.168067129,1126.789915944,2.03,0.12,16.9166666666667,83.1,13.7,0.43,0.52,0,0,5.11,0.03,15.85,0.06
3,B,I,0.91,34.62,37.85,1.29,40.93,31.84,1.08,41.29,38.3423105497771,0.75,30.78,41.20876,7.48859090909091,5129.545453875,1194.882352785,1.81,0.11,16.4545454545455,94.5,2.8,0.18,0.05,0,0,5.3,0.07,17.25,0.35
3,C,I,0.86,42.08,48.78,0.99,41.51,41.88,1.07,42.93,40.2211187107655,0.71,36.75,51.73448,8.04883181818182,4391.988711712,1075.758509728,2.13,0.12,17.75,66,30.6,0.92,0.26,0.02,0,4.9,0.04,14.2,0.15
4,A,I,1.16,40.45,34.8,1.52,40.72,26.82,1.38,42.06,30.4996736529117,0.95,28.83,30.47449,11.5068318181818,5863.92718353225,1329.49024274825,1.9,0.11,17.2727272727273,93.5,3.51,0.32,0.04,0,0.81,4.61,0.09,19.95,0.26
