exogenous_var,effect_type,mediator(s),median,ci_025,ci_975,sig
aet,Indirect (single pathway),aig lit png,-0.03940758568560213,-0.1152839647093919,9.053970043775108e-5,
aet,Total,aig lit png,0.33170682422520065,-0.002500270143428451,0.5957732432959492,
cwd,Indirect (single pathway),aig lit png,-0.026409544177295182,-0.0792184440057278,0.0070210121924107185,
cwd,Total,aig lit png,0.3054273513754341,-0.02387407893288834,0.5527229304507644,
lit,Indirect (single pathway),png,-0.16828046994049356,-0.3744514127327581,-0.012146015690474223,*
p2,Indirect (single pathway),aig lit png,-0.05628628336904389,-0.1460521188827579,-0.0034866586171558877,*
p2,Total,aig lit png,0.8861138301007081,0.6565356661332145,1.0156748066798018,*
shr,Indirect (multiple pathways),aig lit png,0.09747220687747157,0.006161130170742677,0.24042045682791746,*
tmn,Indirect (single pathway),png,-0.06002881905774884,-0.163664026142132,0.00217869776540399,
tmn,Total,png,-0.35772367370395175,-0.55073845119794,-0.14180472564008947,*
