x,OCN,AIG,AIF,Litter,PNG,tmn,aet,p2,sd_cwd,Shrubs,BSC
OCN,0.148,0.019,-0.008,-0.013,0.088,0.018,-0.002,0.06,0.014,0.094,0.003
AIG,0.019,0.452,0.236,0.168,-0.189,-0.017,0.006,0.081,0.002,-0.205,-0.196
AIF,-0.008,0.236,0.677,0.171,-0.223,-0.023,-0.002,0.064,-0.01,-0.33,-0.304
Litter,-0.013,0.168,0.171,0.15,-0.17,-0.013,-0.006,0.027,-0.005,-0.177,-0.186
PNG,0.088,-0.189,-0.223,-0.17,0.421,0.017,0.013,0.007,0.021,0.292,0.257
tmn,0.018,-0.017,-0.023,-0.013,0.017,0.055,0.002,0.023,0.006,0.038,0.011
aet,-0.002,0.006,-0.002,-0.006,0.013,0.002,0.045,-0.017,-0.01,0.026,0.023
p2,0.06,0.081,0.064,0.027,0.007,0.023,-0.017,0.075,0.001,0.008,-0.069
sd_cwd,0.014,0.002,-0.01,-0.005,0.021,0.006,-0.01,0.001,0.022,0.015,0.023
Shrubs,0.094,-0.205,-0.33,-0.177,0.292,0.038,0.026,0.008,0.015,0.473,0.292
BSC,0.003,-0.196,-0.304,-0.186,0.257,0.011,0.023,-0.069,0.023,0.292,0.696
