"","plot","variable","month","value"
"1",1,"def",10,56.6831893920898
"2",2,"def",10,58.4413642883301
"3",3,"def",10,69.8604583740234
"4",4,"def",10,78.0378646850586
"5",5,"def",10,79.0075607299805
"6",6,"def",10,69.5588607788086
"7",7,"def",10,54.4079742431641
"8",8,"def",10,62.9405097961426
"9",10,"def",10,54.8252296447754
"10",11,"def",10,47.0646171569824
"11",12,"def",10,74.1239166259766
"12",13,"def",10,56.4829597473145
"13",14,"def",10,73.1291427612305
"14",16,"def",10,56.6831893920898
"15",18,"def",10,56.4829597473145
"16",19,"def",10,68.4103698730469
"17",20,"def",10,68.4103698730469
"18",21,"def",10,72.067268371582
"19",22,"def",10,57.180061340332
"20",23,"def",10,53.6656875610352
"21",24,"def",10,74.9449310302734
"22",25,"def",10,56.6831893920898
"23",26,"def",10,53.1116561889648
"24",27,"def",10,56.6097869873047
"25",28,"def",10,73.1287994384766
"26",1,"def",11,12.1447658538818
"27",2,"def",11,13.8735466003418
"28",3,"def",11,16.9496059417725
"29",4,"def",11,25.6939849853516
"30",5,"def",11,25.4457473754883
"31",6,"def",11,22.0810585021973
"32",7,"def",11,10.2208089828491
"33",8,"def",11,15.4664678573608
"34",10,"def",11,14.3213300704956
"35",11,"def",11,9.20172309875488
"36",12,"def",11,21.2812042236328
"37",13,"def",11,11.9316701889038
"38",14,"def",11,19.7399196624756
"39",16,"def",11,12.1447658538818
"40",18,"def",11,11.9316701889038
"41",19,"def",11,19.379581451416
"42",20,"def",11,19.379581451416
"43",21,"def",11,20.5202732086182
"44",22,"def",11,12.4781188964844
"45",23,"def",11,13.6049966812134
"46",24,"def",11,21.5578174591064
"47",25,"def",11,12.1447658538818
"48",26,"def",11,9.8316707611084
"49",27,"def",11,11.331446647644
"50",28,"def",11,22.610897064209
"51",1,"def",12,4.81396055221558
"52",2,"def",12,9.04363918304443
"53",3,"def",12,8.13221263885498
"54",4,"def",12,13.595664024353
"55",5,"def",12,13.2308235168457
"56",6,"def",12,9.79067611694336
"57",7,"def",12,5.14838981628418
"58",8,"def",12,9.2216739654541
"59",10,"def",12,4.55756235122681
"60",11,"def",12,2.831951379776
"61",12,"def",12,10.0618591308594
"62",13,"def",12,4.33175086975098
"63",14,"def",12,6.97788333892822
"64",16,"def",12,4.81396055221558
"65",18,"def",12,4.33175086975098
"66",19,"def",12,7.30634546279907
"67",20,"def",12,7.30634546279907
"68",21,"def",12,7.92855978012085
"69",22,"def",12,5.39609622955322
"70",23,"def",12,9.15569686889648
"71",24,"def",12,8.06445598602295
"72",25,"def",12,4.81396055221558
"73",26,"def",12,3.88578844070435
"74",27,"def",12,3.45964694023132
"75",28,"def",12,11.1644077301025
"76",1,"def",1,3.22169709205627
"77",2,"def",1,6.22418260574341
"78",3,"def",1,5.77730178833008
"79",4,"def",1,9.00942707061768
"80",5,"def",1,8.69217872619629
"81",6,"def",1,8.44374847412109
"82",7,"def",1,2.18013572692871
"83",8,"def",1,6.6392936706543
"84",10,"def",1,3.14425468444824
"85",11,"def",1,1.94387853145599
"86",12,"def",1,7.71544742584229
"87",13,"def",1,3.55070209503174
"88",14,"def",1,6.44328212738037
"89",16,"def",1,3.22169709205627
"90",18,"def",1,3.55070209503174
"91",19,"def",1,6.96067333221436
"92",20,"def",1,6.96067333221436
"93",21,"def",1,7.95381927490234
"94",22,"def",1,3.50565576553345
"95",23,"def",1,5.88398599624634
"96",24,"def",1,7.55588293075562
"97",25,"def",1,3.22169709205627
"98",26,"def",1,2.5418906211853
"99",27,"def",1,2.60924983024597
"100",28,"def",1,7.68758630752563
"101",1,"def",2,7.61971473693848
"102",2,"def",2,10.4383029937744
"103",3,"def",2,11.0609283447266
"104",4,"def",2,19.4605255126953
"105",5,"def",2,19.7067432403564
"106",6,"def",2,18.1046905517578
"107",7,"def",2,4.82569217681885
"108",8,"def",2,15.2520084381104
"109",10,"def",2,10.9013042449951
"110",11,"def",2,5.48527717590332
"111",12,"def",2,19.2767009735107
"112",13,"def",2,6.79786682128906
"113",14,"def",2,12.8947038650513
"114",16,"def",2,7.61971473693848
"115",18,"def",2,6.79786682128906
"116",19,"def",2,13.6332740783691
"117",20,"def",2,13.6332740783691
"118",21,"def",2,14.4163131713867
"119",22,"def",2,7.99398803710938
"120",23,"def",2,11.1195583343506
"121",24,"def",2,15.0918436050415
"122",25,"def",2,7.61971473693848
"123",26,"def",2,5.33066511154175
"124",27,"def",2,5.75487613677979
"125",28,"def",2,20.0625305175781
"126",1,"def",3,37.1456642150879
"127",2,"def",3,34.8577003479004
"128",3,"def",3,46.2729110717773
"129",4,"def",3,59.0303726196289
"130",5,"def",3,60.5473365783691
"131",6,"def",3,48.5712356567383
"132",7,"def",3,23.6457347869873
"133",8,"def",3,43.4107780456543
"134",10,"def",3,46.7498321533203
"135",11,"def",3,31.6756286621094
"136",12,"def",3,55.9141998291016
"137",13,"def",3,28.7217025756836
"138",14,"def",3,52.9045753479004
"139",16,"def",3,37.1456642150879
"140",18,"def",3,28.7217025756836
"141",19,"def",3,47.3895797729492
"142",20,"def",3,47.3895797729492
"143",21,"def",3,49.9524993896484
"144",22,"def",3,36.5421829223633
"145",23,"def",3,35.1901321411133
"146",24,"def",3,56.4281997680664
"147",25,"def",3,37.1456642150879
"148",26,"def",3,29.6169452667236
"149",27,"def",3,35.0416717529297
"150",28,"def",3,55.988899230957
"151",1,"def",4,78.402587890625
"152",2,"def",4,76.423095703125
"153",3,"def",4,82.5271301269531
"154",4,"def",4,93.2190933227539
"155",5,"def",4,94.8813171386719
"156",6,"def",4,79.3575210571289
"157",7,"def",4,65.0241241455078
"158",8,"def",4,85.9767150878906
"159",10,"def",4,94.5857696533203
"160",11,"def",4,80.1921844482422
"161",12,"def",4,98.3073654174805
"162",13,"def",4,65.1400604248047
"163",14,"def",4,95.3504638671875
"164",16,"def",4,78.402587890625
"165",18,"def",4,65.1400604248047
"166",19,"def",4,85.4964752197266
"167",20,"def",4,85.4964752197266
"168",21,"def",4,85.8595504760742
"169",22,"def",4,77.7457046508789
"170",23,"def",4,75.1483459472656
"171",24,"def",4,100.176818847656
"172",25,"def",4,78.402587890625
"173",26,"def",4,71.2172393798828
"174",27,"def",4,83.3712005615234
"175",28,"def",4,95.0049209594727
"176",1,"def",5,111.446319580078
"177",2,"def",5,120.437774658203
"178",3,"def",5,123.438201904297
"179",4,"def",5,131.740173339844
"180",5,"def",5,133.332015991211
"181",6,"def",5,121.848747253418
"182",7,"def",5,92.5476226806641
"183",8,"def",5,125.347953796387
"184",10,"def",5,130.371475219727
"185",11,"def",5,117.734619140625
"186",12,"def",5,130.18147277832
"187",13,"def",5,112.842582702637
"188",14,"def",5,136.887786865234
"189",16,"def",5,111.446319580078
"190",18,"def",5,112.842582702637
"191",19,"def",5,127.130325317383
"192",20,"def",5,127.130325317383
"193",21,"def",5,124.355964660645
